N;K;blocks;time;rate
10;22;655.876666666667;2361.087;2.98125757575758
10;23;708.943333333333;2752.868;3.08236231884058
10;24;736.41;3447.794;3.068375
16;2;72.4466666666667;10.798;2.26395833333333
16;4;160.573333333333;76.66;2.50895833333333
16;6;256.93;242.332;2.67635416666667
16;8;357.213333333333;547.159;2.79072916666666
16;10;460.21;1038.625;2.8763125
16;12;565.423333333333;1760.302;2.94491319444444
16;14;684.453333333333;2975.995;3.05559523809524
16;16;776.91;4105.263;3.0348046875
16;18;892.353333333333;5693.848;3.09844907407407
16;20;990.473333333333;7557.609;3.09522916666667
16;22;1123.96666666667;10547.573;3.19308712121213
16;24;1236.33333333333;13325.942;3.21961805555555
16;26;1365.05333333333;17125.83;3.2813782051282
16;28;1469.81;23531.225;3.28082589285714
16;30;1564.55666666667;25549.585;3.25949305555556

